iter	RMSE
0	8.408356977
1	8.140719576
2	7.881797868
3	7.61860348
4	7.374877238
5	7.160685164
6	6.962805812
7	6.749692928
8	6.564592048
9	6.371040959
10	6.185954158
11	6.019618542
12	5.846812056
13	5.678877696
14	5.536434855
15	5.403714384
16	5.267357041
17	5.126273748
18	4.990062678
19	4.858231567
20	4.737393129
21	4.615580608
22	4.503420905
23	4.396085751
24	4.289954516
25	4.191724641
26	4.109595331
27	4.013680625
28	3.923768864
29	3.841706458
30	3.771346615
31	3.699896678
32	3.633261973
33	3.562554715
34	3.498852011
35	3.425900619
36	3.369113864
37	3.309285724
38	3.257123273
39	3.20834044
40	3.15587387
41	3.109035939
42	3.062249279
43	3.016770021
44	2.977165993
45	2.937201715
46	2.898830151
47	2.870723116
48	2.846854331
49	2.807545279
50	2.776683553
51	2.747315969
52	2.719157972
53	2.693233611
54	2.666833359
55	2.643618943
56	2.620967343
57	2.590708561
58	2.561144363
59	2.540582568
60	2.518776963
61	2.499554385
62	2.482492781
63	2.4580364
64	2.436156924
65	2.421727711
66	2.401881727
67	2.387978195
68	2.370733939
69	2.357109624
70	2.343037652
71	2.32891969
72	2.314985057
73	2.304612191
74	2.293629007
75	2.282533125
76	2.271892346
77	2.260368888
78	2.250177576
79	2.241775211
80	2.230527287
81	2.222037817
82	2.211061293
83	2.200403536
84	2.187784059
85	2.17996548
86	2.174327131
87	2.16627
88	2.157116396
89	2.150292905
90	2.143908
91	2.133932627
92	2.126963194
93	2.121781709
94	2.117756558
95	2.110655871
96	2.10619357
97	2.097266533
98	2.087317668
99	2.079694709
100	2.073420805
101	2.068510873
102	2.064166131
103	2.058727706
104	2.054546064
105	2.050881452
106	2.04389802
107	2.038621415
108	2.033197587
109	2.02922632
110	2.022491413
111	2.019295046
112	2.011478048
113	2.007596371
114	2.0050371
115	2.000765962
116	1.995076431
117	1.99039553
118	1.986553725
119	1.982175887
120	1.977260958
121	1.971830602
122	1.969005737
123	1.963953332
124	1.96033366
125	1.955929062
126	1.952425783
127	1.945919807
128	1.940415698
129	1.936993767
130	1.932586915
131	1.929343906
132	1.925830311
133	1.920697274
134	1.916041498
135	1.912534618
136	1.906119395
137	1.902578466
138	1.900253394
139	1.897291125
140	1.892663884
141	1.890695709
142	1.888367331
143	1.885253685
144	1.881019503
145	1.878549358
146	1.872622198
147	1.870672062
148	1.867081871
149	1.862697821
150	1.860001227
151	1.85513031
152	1.852042207
153	1.848144329
154	1.846088697
155	1.842437527
156	1.836436256
157	1.833465361
158	1.831412579
159	1.828392558
160	1.824986502
161	1.819677454
162	1.816390366
163	1.81378986
164	1.810680197
165	1.805856209
166	1.803521217
167	1.800851087
168	1.799065201
169	1.797247667
170	1.793711275
171	1.791000721
172	1.788293013
173	1.785051981
174	1.781546095
175	1.779051678
176	1.776709109
177	1.773189281
178	1.770070698
179	1.766958865
180	1.762984823
181	1.760231908
182	1.757164358
183	1.752053685
184	1.749570339
185	1.746930061
186	1.742720151
187	1.739343076
188	1.736040105
189	1.733951605
190	1.732080381
191	1.729060071
192	1.726776009
193	1.724646375
194	1.721976753
195	1.71990054
196	1.717077377
197	1.714807833
198	1.713039648
199	1.710752963
200	1.70802618
201	1.705788115
202	1.703070739
203	1.700441695
204	1.698021109
205	1.69550381
206	1.692778366
207	1.688337549
208	1.686041733
209	1.684045126
210	1.681947433
211	1.680120062
212	1.678042836
213	1.675444166
214	1.672965746
215	1.670552537
216	1.66941893
217	1.667766279
218	1.665826768
219	1.663543749
220	1.660844379
221	1.657573948
222	1.654630072
223	1.651446634
224	1.648354891
225	1.646602018
226	1.643931047
227	1.64205995
228	1.640285741
229	1.637822845
230	1.636020063
231	1.633246101
232	1.631745665
233	1.629018111
234	1.627193001
235	1.625110629
236	1.62301787
237	1.620354892
238	1.617027191
239	1.615238933
240	1.612750227
241	1.610850653
242	1.608850949
243	1.607493662
244	1.605605649
245	1.603765842
246	1.602778456
247	1.599908256
248	1.59803032
249	1.596807795
250	1.595102322
251	1.592492674
252	1.591097472
253	1.589451813
254	1.585550683
255	1.584223446
256	1.582061544
257	1.580524468
258	1.578991528
259	1.576482098
260	1.574368599
261	1.573178197
262	1.571143399
263	1.569762761
264	1.567339293
265	1.565181876
266	1.562343163
267	1.560464721
268	1.55852288
269	1.556227963
270	1.55467734
271	1.55317364
272	1.551222229
273	1.549744003
274	1.548985217
275	1.547317559
276	1.542660359
277	1.538601797
278	1.537245547
279	1.533811318
280	1.532634013
281	1.530973514
282	1.529291133
283	1.525922806
284	1.523696993
285	1.522543801
286	1.520700312
287	1.519380523
288	1.517543214
289	1.516027881
290	1.514888665
291	1.514200476
292	1.511832453
293	1.509795268
294	1.508227822
295	1.506947305
296	1.505922896
297	1.504842379
298	1.503756523
299	1.5025079
300	1.500152936
301	1.498123321
302	1.497019988
303	1.496418882
304	1.495073691
305	1.493936139
306	1.491700947
307	1.488923204
308	1.487258179
309	1.485982306
310	1.482698238
311	1.48031011
312	1.478477859
313	1.476830441
314	1.474761504
315	1.473690092
316	1.472102487
317	1.471002347
318	1.470043007
319	1.468415796
320	1.467526658
321	1.466506462
322	1.464063106
323	1.462961574
324	1.461085045
325	1.460061512
326	1.458926859
327	1.458161435
328	1.457311178
329	1.45472633
330	1.453616173
331	1.450846213
332	1.449289251
333	1.44743122
334	1.445130528
335	1.443591079
336	1.440840358
337	1.439253234
338	1.437227452
339	1.436205318
340	1.432389484
341	1.431136181
342	1.43047402
343	1.4273825
344	1.425087747
345	1.423520248
346	1.421432025
347	1.420554829
348	1.418934268
349	1.416977035
350	1.415420921
351	1.414373073
352	1.413425541
353	1.412649365
354	1.408654074
355	1.40528741
356	1.403178382
357	1.402033683
358	1.400713616
359	1.399082724
360	1.39796199
361	1.396611895
362	1.395479035
363	1.394098564
364	1.392493281
365	1.391692183
366	1.390273634
367	1.389320103
368	1.387746178
369	1.386595697
370	1.385030717
371	1.382314619
372	1.381078023
373	1.379923672
374	1.378789072
375	1.377057573
376	1.375514041
377	1.374063837
378	1.372475288
379	1.371533271
380	1.370214456
381	1.369265254
382	1.368385956
383	1.366824704
384	1.364580315
385	1.363056932
386	1.361596485
387	1.360615999
388	1.359388669
389	1.357535941
390	1.357043772
391	1.354600911
392	1.353580462
393	1.350514196
394	1.347302655
395	1.345286505
396	1.344352933
397	1.342571477
398	1.341502
399	1.340354685
400	1.338524469
401	1.336951019
402	1.336126493
403	1.335077224
404	1.333809223
405	1.333065077
406	1.331633444
407	1.330916483
408	1.330142026
409	1.328462441
410	1.327450624
411	1.326575564
412	1.325558706
413	1.324626324
414	1.322938504
415	1.320365655
416	1.319158314
417	1.318244557
418	1.315981456
419	1.313954879
420	1.312706557
421	1.310089915
422	1.309420822
423	1.306370057
424	1.305477034
425	1.304214157
426	1.302446425
427	1.30147565
428	1.29944219
429	1.29815164
430	1.296695751
431	1.295891468
432	1.29389966
433	1.292422452
434	1.291003647
435	1.289006625
436	1.287774301
437	1.286879497
438	1.285381363
439	1.284392718
440	1.283432085
441	1.282609308
442	1.281970961
443	1.281189275
444	1.27979969
445	1.279298934
446	1.278035276
447	1.276704629
448	1.275146309
449	1.274364899
450	1.272190611
451	1.271064744
452	1.270442502
453	1.2695823
454	1.26866755
455	1.266271532
456	1.265321306
457	1.264041738
458	1.262740208
459	1.26218765
460	1.261396254
461	1.26033839
462	1.258678095
463	1.257508537
464	1.255960307
465	1.254407274
466	1.25371358
467	1.252703894
468	1.252204155
469	1.250929698
470	1.249478647
471	1.248791167
472	1.246836682
473	1.246423923
474	1.245008458
475	1.244175291
476	1.243493648
477	1.242703406
478	1.240460229
479	1.239457341
480	1.239153064
481	1.237977817
482	1.237560531
483	1.236427593
484	1.235545252
485	1.234654433
486	1.233333955
487	1.232587494
488	1.23095507
489	1.230155462
490	1.227998724
491	1.227362486
492	1.226032796
493	1.224726516
494	1.223981098
495	1.222762727
496	1.222278273
497	1.221525153
498	1.221124967
499	1.220419087
500	1.219888609
501	1.219490457
502	1.21855574
503	1.217578322
504	1.216138154
505	1.215645935
506	1.214943177
507	1.214547876
508	1.214048364
509	1.213338759
510	1.212699672
511	1.210973035
512	1.210416307
513	1.209221683
514	1.208530795
515	1.207270752
516	1.206844278
517	1.205620292
518	1.203172364
519	1.202710392
520	1.201977288
521	1.2013244
522	1.200346587
523	1.199399151
524	1.19868719
525	1.197994631
526	1.195947696
527	1.195508923
528	1.195076887
529	1.193786429
530	1.193126583
531	1.191834631
532	1.19096262
533	1.189703037
534	1.18872572
535	1.188281194
536	1.1879366
537	1.187453949
538	1.186382904
539	1.185821722
540	1.183899849
541	1.181524628
542	1.180930265
543	1.179146304
544	1.1765857
545	1.175593552
546	1.173616803
547	1.172549747
548	1.171766413
549	1.17088491
550	1.169874833
551	1.168960893
552	1.168003584
553	1.167407711
554	1.166605569
555	1.165110669
556	1.16418783
557	1.163782345
558	1.162622461
559	1.161837841
560	1.161275698
561	1.160241023
562	1.15908698
563	1.158704163
564	1.157686877
565	1.155406612
566	1.154398679
567	1.153746652
568	1.153173362
569	1.151769907
570	1.150869461
571	1.149551369
572	1.148815728
573	1.146527357
574	1.144810201
575	1.143758921
576	1.142171576
577	1.141720752
578	1.141125151
579	1.140180631
580	1.139647657
581	1.137657903
582	1.136904366
583	1.135906481
584	1.135389523
585	1.133556102
586	1.133191702
587	1.131983947
588	1.129806604
589	1.129218377
590	1.12811724
591	1.12707115
592	1.125105409
593	1.122899301
594	1.12196387
595	1.119156648
596	1.118379329
597	1.117372187
598	1.11663266
599	1.115922302
600	1.115370465
601	1.114531326
602	1.11339011
603	1.112011896
604	1.111318957
605	1.110941001
606	1.110486553
607	1.109574342
608	1.108783987
609	1.108088776
610	1.106604568
611	1.105699525
612	1.104537979
613	1.102938919
614	1.101997781
615	1.101231841
616	1.100281383
617	1.099156712
618	1.09644938
619	1.094816634
620	1.094464334
621	1.093558952
622	1.092876105
623	1.092155334
624	1.08971709
625	1.089033485
626	1.086593752
627	1.085373947
628	1.084414303
629	1.083733495
630	1.083260709
631	1.081689259
632	1.080679963
633	1.078731933
634	1.078101754
635	1.07760391
636	1.077337057
637	1.076022472
638	1.073736023
639	1.073390872
640	1.073039415
641	1.071114498
642	1.070480645
643	1.069716007
644	1.068991704
645	1.067767614
646	1.067223889
647	1.066416366
648	1.065932729
649	1.06506083
650	1.064787366
651	1.064476269
652	1.063169055
653	1.06256027
654	1.061933096
655	1.061311435
656	1.060011825
657	1.059174876
658	1.056755583
659	1.055725143
660	1.055388531
661	1.054649673
662	1.054030402
663	1.053687064
664	1.052695511
665	1.052385902
666	1.05066516
667	1.049024124
668	1.048674492
669	1.048030818
670	1.047345536
671	1.04642031
672	1.045755314
673	1.044144823
674	1.043071378
675	1.042586552
676	1.041196381
677	1.040135146
678	1.038727594
679	1.037259804
680	1.036320654
681	1.035716721
682	1.034791132
683	1.033849642
684	1.033206456
685	1.031391147
686	1.030263263
687	1.028686301
688	1.027968501
689	1.026948868
690	1.025554469
691	1.025302871
692	1.024989492
693	1.024326145
694	1.023620526
695	1.023054311
696	1.022242637
697	1.021964518
698	1.02072834
699	1.018583004
700	1.018094124
701	1.017528021
702	1.01725392
703	1.016427897
704	1.016028351
705	1.014029194
706	1.013448836
707	1.012544459
708	1.012010411
709	1.011122709
710	1.010618351
711	1.010221031
712	1.009658858
713	1.008734507
714	1.008463747
715	1.008157724
716	1.006580371
717	1.006034765
718	1.005035229
719	1.003834652
720	1.003563552
721	1.002476639
722	1.001280215
723	0.9998808404
724	0.9987963278
725	0.9974649755
726	0.9964952436
727	0.9955305359
728	0.9946701358
729	0.9938131621
730	0.9930688206
731	0.991944239
732	0.9914976967
733	0.9906595828
734	0.9904414573
735	0.9890164551
736	0.9881214522
737	0.9871114802
738	0.986892008
739	0.9862889483
740	0.9854798626
741	0.9849805427
742	0.9843465313
743	0.9837701498
744	0.9830025313
745	0.981153593
746	0.9804467612
747	0.9801906732
748	0.979100776
749	0.9779607305
750	0.9774265068
751	0.9769307599
752	0.9758940513
753	0.9755048049
754	0.9739190306
755	0.9729483694
756	0.9712487127
757	0.9707122056
758	0.9694205257
759	0.9688460603
760	0.9677231233
761	0.9674787054
762	0.966539356
763	0.9654529961
764	0.9649383713
765	0.9646614701
766	0.9636334511
767	0.9621870327
768	0.9603089631
769	0.9594998172
770	0.9591420841
771	0.958837572
772	0.9582955461
773	0.9569482174
774	0.9558803658
775	0.9553937965
776	0.9546225957
777	0.9541752941
778	0.9531845893
779	0.9512612827
780	0.9507146628
781	0.9493098116
782	0.9480938785
783	0.9477589977
784	0.9474626132
785	0.9467935185
786	0.946552473
787	0.9450485035
788	0.9439293807
789	0.9433812255
790	0.9428889148
791	0.9423682446
792	0.9412212259
793	0.940689386
794	0.9399621615
795	0.9383173708
796	0.9378888426
797	0.9374156514
798	0.9367055279
799	0.9364877176
800	0.9360681945
801	0.9357060779
802	0.9346591013
803	0.9341772005
804	0.9333486087
805	0.9327236059
806	0.9320919359
807	0.9316193898
808	0.9306760536
809	0.9293150669
810	0.9288640763
811	0.927583812
812	0.927053675
813	0.9263544447
814	0.9255646971
815	0.9242377006
816	0.9227772938
817	0.9214064717
818	0.9208815949
819	0.9199417905
820	0.9193485012
821	0.9183969019
822	0.9179091912
823	0.9175309892
824	0.916699634
825	0.9161779221
826	0.9153804346
827	0.9148662663
828	0.9125921462
829	0.9121095372
830	0.9108764688
831	0.9100776658
832	0.90920658
833	0.9084352993
834	0.9079679331
835	0.9066032914
836	0.9060190179
837	0.905108404
838	0.9038514969
839	0.9034833054
840	0.9030040853
841	0.9024704751
842	0.90136344
843	0.9009297733
844	0.9005617777
845	0.8998731662
846	0.8990876747
847	0.897972821
848	0.8969619786
849	0.8965393874
850	0.8945581193
851	0.8938866464
852	0.8927894161
853	0.8920749266
854	0.891318127
855	0.8907515613
856	0.8904363326
857	0.8896552314
858	0.889322581
859	0.8874052966
860	0.8869142673
861	0.8864565672
862	0.8852212226
863	0.8849285098
864	0.8844029132
865	0.8829461511
866	0.8822823206
867	0.881752636
868	0.8811114063
869	0.8804931904
870	0.8798226509
871	0.879356422
872	0.8786725774
873	0.8777981489
874	0.8772268703
875	0.8758860037
876	0.8751030274
877	0.8741281031
878	0.8726249424
879	0.8715893593
880	0.8709045867
881	0.8703770208
882	0.86971091
883	0.869056409
884	0.8680682096
885	0.8674933331
886	0.8667939803
887	0.8661425301
888	0.8647491245
889	0.864529154
890	0.8641011859
891	0.8634457481
892	0.863017473
893	0.8622497654
894	0.8614175777
895	0.8607113339
896	0.8594940446
897	0.8591031345
898	0.8587240864
899	0.8579986016
900	0.8571368787
901	0.8564062612
902	0.8549843221
903	0.854041175
904	0.8534787838
905	0.8527534878
906	0.8516550834
907	0.8509808003
908	0.8506475477
909	0.8500309551
910	0.8493250111
911	0.8490862537
912	0.8488638456
913	0.846838752
914	0.8459380682
915	0.8448991492
916	0.8444683576
917	0.8439827305
918	0.8432625242
919	0.8420298324
920	0.8412693042
921	0.840677196
922	0.8402158743
923	0.8397702985
924	0.8390535894
925	0.8382911434
926	0.8376455734
927	0.8366598396
928	0.836182319
929	0.8354404218
930	0.8348377413
931	0.8338488019
932	0.8333103532
933	0.8329945947
934	0.8315848903
935	0.8307235131
936	0.8304157026
937	0.8297298012
938	0.8293500587
939	0.8289907096
940	0.828597768
941	0.8281429158
942	0.8273901637
943	0.8270127009
944	0.8262522282
945	0.8253317224
946	0.8243669836
947	0.8234288858
948	0.8223178334
949	0.8211986082
950	0.8208233343
951	0.8200438073
952	0.8196764742
953	0.8188491021
954	0.8177793664
955	0.8170515144
956	0.8168203189
957	0.815637566
958	0.8145615954
959	0.8129107199
960	0.811786821
961	0.8112856336
962	0.8107021787
963	0.8101328395
964	0.8097822627
965	0.8088827982
966	0.8084197654
967	0.8071796026
968	0.8065055318
969	0.8055269283
970	0.8049480159
971	0.8045370193
972	0.8039093926
973	0.8032699407
974	0.8023488054
975	0.8020914591
976	0.8008810921
977	0.7999896256
978	0.7992744629
979	0.7988800575
980	0.7984486565
981	0.7974453845
982	0.7963067625
983	0.7957830688
984	0.7954524899
985	0.794890549
986	0.7946338428
987	0.7943281971
988	0.7939409902
989	0.7936777574
990	0.7933650347
991	0.7927124054
992	0.7923490704
993	0.7916661358
994	0.7912671933
995	0.7909682194
996	0.7904054802
997	0.7899377079
998	0.7895144347
999	0.789106574
